country,medialist
Jersey,"['itv.com', 'jersey.isle-news.com', 'jerseyeveningpost.com']"
News Resources,"['alanwood.net', 'scriptsource.org', 'babylon.com', 'ectaco.com', 'ethnologue.com', 'faganfinder.com', 'foreignword.com', 'freetranslation.com', 'free-translator.com', 'translate.google.com', 'starr.net', 'logos.it', 'omniglot.com', 'translate.ru', 'systransoft.com', 'tranexp.com', 'yourdictionary.com']"
Cook Islands,"['radio.co.ck', 'cook-islands.gov.ck', 'cookislandsnews.com', 'ciherald.co.ck']"
Cuba,"['cubavision.icrt.cu', 'martinoticias.com', 'radioenciclopedia.cu', 'radiohc.cu', 'radiorebelde.cu', 'radioreloj.icrt.cu', 'radiotaino.icrt.cu', 'cibercuba.com', 'cubachronicle.com', 'cubadebate.cu', 'cubanet.org', 'cubasi.cu', 'diariocubano.com', 'news.google.com.cu', 'havanajournal.com', 'noticiasdecuba.info', 'notinet.icrt.cu', 'bohemia.cu', 'cubahora.cu', 'eleconomista.cubaweb.cu', 'granma.cu', 'english.juventudrebelde.cu', 'juventudrebelde.cu', 'prensa-latina.cu', 'opciones.cu', 'trabajadores.cu', 'acn.cu', 'plenglish.com', 'prensa-latina.it', 'prensalatina.com.br', 'artemisadiario.cu', 'artemisaradioweb.icrt.cu', 'tvartemisa.icrt.cu', 'ariguanaboradioweb.icrt.cu', 'adelante.cu', 'cadenagramonte.cu', 'tvcamaguey.icrt.cu', 'radioflorida.icrt.cu', 'radioguaimaro.icrt.cu', 'radionuevitas.icrt.cu', 'radiosantacruz.icrt.cu', 'invasor.cu', 'radiosurco.icrt.cu', 'tvavila.icrt.cu', 'radiomoron.cu', 'aguadaradio.icrt.cu', '5septiembre.cu', 'perlavision.icrt.cu', 'rcm.icrt.cu', 'cnctv.icrt.cu', 'lademajagua.cu', 'radiobayamo.icrt.cu', 'radiogranma.icrt.cu', 'tvserrana.icrt.cu', 'radiobaracoa.icrt.cu', 'radioguantanamo.icrt.cu', 'solvision.icrt.cu', 'venceremos.cu', 'radiociudadhabana.icrt.cu', 'radiococo.icrt.cu', 'radiometropolitana.icrt.cu', 'tribuna.co.cu', 'radiobanes.icrt.cu', 'radiojuvenil.icrt.cu', 'ahora.cu', 'aldia.cu', 'radioangulo.cu', 'islavision.icrt.cu', 'radiocaribe.icrt.cu', 'periodicovictoria.cu', 'radiomaboas.cu', 'radiolibertad.cu', 'periodico26.cu', 'tiempo21.cu', 'visiontunera.icrt.cu', 'radiociudadbandera.wordpress.com', 'giron.cu', 'radio26.cu', 'tvyumuri.icrt.cu', 'jarucoradioweb.icrt.cu', 'diariomayabeque.cu', 'camoaradioweb.icrt.cu', 'radiomayabeque.icrt.cu', 'radiominas.icrt.cu', 'guerrillero.cu', 'rguama.icrt.cu', 'telepinar.icrt.cu', 'centrovision.icrt.cu', 'fenix.co.cu', 'en.escambray.cu', 'escambray.cu', 'radiosanctispiritus.cu', 'radiogritodebaire.icrt.cu', 'radio8sf.icrt.cu', 'radiotitan.icrt.cu', 'radiobaragua.cu', 'radiomajaguabo.cu', 'cmkc.icrt.cu', 'radiomambi.icrt.cu', 'sierramaestra.cu', 'tvsantiago.icrt.cu', 'radiocaibarien.icrt.cu', 'cmhw.cu', 'vanguardia.cu']"
Italy,"['radio24.ilsole24ore.com', 'rainews.it', 'televideo.rai.it', 'tgcom24.mediaset.it', 'albanianews.it', 'giornale.it', 'news.google.it', 'initaliaonline.it', 'italynews.it', 'legginotizie.com', 'ligury.com', 'thelocal.it', 'wallstreetitalia.com', 'it.notizie.yahoo.com', 'it.ibtimes.com', 'italica.sm', 'lifeinitaly.com', 'ildomenicale.it', 'internazionale.it', 'espresso.repubblica.it', 'panorama.it', 'affaritaliani.it', 'corriere.it', 'ilmessaggero.it', 'ilsole24ore.com', 'gazzetta.it', 'repubblica.it', 'lastampa.it', 'adnkronos.com', 'servizi.agenziami.it', 'agi.it', 'agopress.info', 'aise.it', 'ansa.it', 'askanews.it', 'italpress.com', 'it.reuters.com', 'ilcentro.gelocal.it', 'ildomani.it', 'giornaledicalabria.it', 'corrieredelsud.it', 'corriereirpinia.it', 'ilgolfo.it', 'dossiermagazine.it', 'ildenaro.it', 'ilmattino.it', 'napoli.repubblica.it', 'napoli.com', 'napolitoday.it', 'issuu.com', 'ilroma.net', 'videocomunicazioni.com', 'lacittadisalerno.gelocal.it', 'ilbologna.com', 'ilrestodelcarlino.it', 'bologna.repubblica.it', 'lanuovaferrara.gelocal.it', 'romagnaoggi.it', 'ilnuovo.redaweb.it', 'gazzettadimodena.gelocal.it', 'gazzettadiparma.it', 'liberta.it', 'gazzettadireggio.gelocal.it', 'viaemilianet.it', 'corriereromagna.it', 'ilpiccolo.gelocal.it', 'primorski.it', 'ilfriuli.it', 'messaggeroveneto.gelocal.it', 'avantionline.it', 'corrieredellosport.it', 'epolisroma.it', 'ilmanifesto.info', 'iltempo.it', 'roma.repubblica.it', 'leggo.it', 'liberazione.it', 'indipendenteonline.it', 'opinione.it', 'unita.it', 'metronews.it', 'romatoday.it', 'pontediferro.org', 'ilnuovolevante.it', 'ilsecoloxix.it', 'genova.repubblica.it', 'ligurianotizie.it', 'lariviera.netweek.it', 'bergamosette.it', 'ecodibergamo.it', 'brescia7giorni.it', 'bresciaoggi.it', 'giornaledibrescia.it', 'giornaledicomo.it', 'corrierecomo.it', 'laprovinciadicomo.it', 'giornaledilecco.it', 'laprovinciadilecco.it', 'cap025.it', 'ilcittadino.it', 'gazzettadimantova.gelocal.it', 'vocedimantova.it', 'mantovasette.it', 'avvenire.it', 'epolismilano.it', 'ilfoglio.it', 'ilgiornale.it', 'ilgiorno.it', 'italiaoggi.it', 'lapadania.com', 'milano.repubblica.it', 'lepetitjournal.com', 'liberoquotidiano.it', 'milanofinanza.it', 'milanobordello.com', 'milanotoday.it', 'tempi.it', 'agipapress.it', 'laprovinciapavese.gelocal.it', 'pavia7.it', 'informazona.it', 'giornaledisondrio.it', 'laprovinciadisondrio.it', 'varese7press.it', 'varesenews.it', 'corriereadriatico.it', 'ilquotidiano.it', 'alessandria7.it', 'giornalediarona.it', 'inastinews.it', 'nuovaprovincia.it', 'notiziaoggi.it', 'nuovaperiferia.it', 'cirie.ilcanavese.it', 'lasentinella.gelocal.it', 'novaraoggi.it', 'ilcanavese.it', 'settimo.nuovaperiferia.it', 'lagazzettaweb.it', 'torino.repubblica.it', 'porter.it', 'tuttosport.com', 'notiziaoggivercelli.it', 'barisera.it', 'lagazzettadelmezzogiorno.it', 'bari.repubblica.it', 'ilgrecale.it', 'corgiorno.it', 'unionesarda.it', 'lanuovasardegna.gelocal.it', 'lasicilia.it', 'gazzettadelsud.it', 'palermo.repubblica.it', 'press.sicilia.it', 'sicilianews24.it', 'theflorentine.net', 'firenzetoday.it', 'florencenews.it', 'ilfirenze.it', 'lanazione.it', 'firenze.repubblica.it', 'metropoliweb.it', 'nove.firenze.it', 'iltirreno.gelocal.it', 'altoadige.gelocal.it', 'tageszeitung.it', 'stol.it', 'ff-online.com', 'swz.it', 'brixner.info', 'pzpz.it', 'suedtirolernachrichten.it', 'dervinschger.it', 'ladige.it', 'trentinocorrierealpi.gelocal.it', 'corr.it', 'inumbria.it', 'aostaoggi.it', 'lavallee.netweek.it', 'corrierealpi.gelocal.it', 'mattinopadova.gelocal.it', 'padovaoggi.it', 'tribunatreviso.gelocal.it', 'trevisotoday.it', 'gazzettino.it', 'nuovavenezia.gelocal.it', 'larena.it', 'veronaoggi.it', 'ilgiornaledivicenza.it', 'usag.vicenza.army.mil', 'vicenzatoday.it']"
Grenada,"['grenadabroadcast.com', 'grenadachronicle.com', 'grenadasports.gd', 'nowgrenada.com', 'spicegrenada.com', 'spiceislander.com', 'spicevibes.com', 'grenvoice.com', 'thenewtoday.gd', 'barnaclegrenada.com', 'vogfm.com', 'weefmgrenada.com']"
 Burkina Faso,"['rtb.bf', 'aouaga.com', 'actuburkina.com', 'burkina24.com', 'faso-actu.net', 'fasonews.net', 'fasopresse.net', 'lefaso.net', 'fasozine.com', 'lepays.bf', 'lobservateur.bf', 'sidwaya.bf', 'aib.bf', 'courrierconfidentiel.net', 'evasion.lepays.bf', 'journaldujeudi.com', 'evenement-bf.net', 'hebdo.bf', 'zedcom.bf', 'mutationsbf.net', 'savanefm.bf']"
Kosovo,"['klankosova.tv', 'kohavision.tv', 'evropaelire.org', 'rrokum.tv', 'rtklive.com', 'rtv21.tv', '10minuta.com', 'gazetaexpress.com', 'gazetajnk.com', 'indeksonline.net', 'infokosova.net', 'kosova.info', 'kosovaonline.info', 'knninfo.com', 'lajmi.net', 'mesazhi.com', 'kosova.com', 'shkabaj.net', 'sportkosova.com', 'telegrafi.com', 'unmikonline.org', 'zhurnal-ks.com', 'kosova-info-line.de', 'rferl.org', 'koha.net', 'infosot.com', 'kosovalive360.com', 'kosovapress.com', 'gjakovapress.info', 'radiogjakova.info', 'syri-vision.tv', '2lonline.com', 'radiorinia.com', 'radio-victoria.com', 'rajonipress.com', 'radio24-ks.com', 'radiomitrovicasever.com', 'tvmost.info', 'botasot.info', 'epokaere.com', 'infopress-rh.com', 'jedinstvo.rs', 'kosova-sot.info', 'lajmonline.com', 'radiokosovaelire.com', 'gazetatribuna.com', 'zeri.info', 'gazetaeprizrenit.com', 'prizrenpress.com', 'tv-opinion.com']"
Romania,"['a1.ro', 'europafm.ro', 'primatv.ro', 'stirileprotv.ro', 'rri.ro', 'tvr.ro', 'europalibera.org', 'acasa.ro', 'stiri.apropotv.ro', 'astazi.ro', 'business24.ro', 'cotidianul.ro', 'dcnews.ro', 'gandul.info', 'govnet.ro', 'home.ro', 'hotnews.ro', 'jurnalul24.ro', 'manager.ro', 'my-press.ro', 'onlinesport.ro', 'realitatea.net', 'romaniajournal.ro', 'rol.ro', 'ronewsblog.wordpress.com', 'romaniantimes.at', 'academiacatavencu.info', 'cadranpolitic.ro', 'thediplomat.ro', 'formula-as.ro', 'adevarul.ro', 'eazi.ro', 'bursa.ro', 'capital.ro', 'click.ro', 'cronicaromana.net', 'curentul.info', 'curierulnational.ro', 'evz.ro', 'gsp.ro', 'independent-al.ro', 'jurnalul.ro', 'libertatea.ro', 'prosport.ro', 'romanialibera.ro', 'zfenglish.com', 'zf.ro', 'agerpres.ro', 'mediafax.ro', 'rgnpress.ro', 'alba24.ro', 'monitorulab.ro', 'ziarulunirea.ro', 'aradon.ro', 'aradcity.ro', 'newsarad.ro', 'sportarad.ro', 'ziarulargesul.ro', 'curier.ro', 'bacau.net', 'bacaul.ro', 'desteptarea.ro', 'inainte.eu', 'news.observatordebacau.info', 'observatordebacau.ro', 'sport.bacaul.ro', 'ziaruldebacau.ro', 'bihon.ro', 'bihoreanul.gandul.info', 'oradea-online.ro', 'realitateabihoreana.ro', 'jurnalulbtd.ro', 'monitorulbt.ro', 'infoest.ro', 'obiectivbr.ro', 'bzb.ro', 'monitorulexpres.ro', 'mytex.ro', 'monitorfg.ro', 'adz.ro', 'businessromania.com', 'lepetitjournal.com', 'enational.ro', 'maszol.ro', 'zaman.ro', 'ziarulring.ro', 'observatorcl.info', 'clujeanul.gandul.info', 'gazetadecluj.ro', 'monitorulcj.ro', 'szabadsag.ro', 'ziuadecj.realitatea.net', 'ziarul21.ro', 'bzc.ro', 'cugetliber.ro', 'flagrantct.ro', 'observator.ro', 'replicaonline.ro', 'telegrafonline.ro', 'ziuaconstanta.ro', '3szek.ro', 'hirmondo.ro', 'etargoviste.ro', 'cvlpress.ro', 'editie.ro', 'gds.ro', 'monitoruldegalati.ro', 'viata-libera.ro', 'hunedoreanul.gandul.info', 'gazetavaii.ro', 'gazetadesudest.ro', 'jurnaluldeialomita.ro', 'bzi.ro', 'ziarulevenimentul.ro', 'ieseanul.gandul.info', 'monitorul.com.ro', 'ziaruldeiasi.ro', 'gazetademaramures.ro', 'glasul.ro', '24deoremuresene.ro', 'cuvantul-liber.ro', 'hhrf.org', 'tvmures.ro', 'ziaruldemures.ro', 'mont.ro', 'slatinata.ro', 'ziaruldeolt.ro', 'observatorulph.ro', 'ziarulprahova.ro', 'magazinsalajean.ro', 'salajeanul.ro', 'gazetanord-vest.ro', 'informatia-zilei.ro', 'hermannstaedter.ro', 'monitoruldesibiu.com', 'oradesibiu.ro', 'sibianul.gandul.info', 'tribuna.ro', 'crainou.ro', 'informatiata.ro', 'jupanu.ro', 'monitorulsv.ro', 'news-bucovina.ro', 'obiectivdesuceava.ro', 'svnews.ro', 'ziarulteleormanul.ro', 'ziarulactualitatea.ro', 'agenda.ro', 'banateanul.gandul.info', 'focusvest.ro', 'hetiujszo.hhrf.org', 'newstm.ro', 'renasterea.ro', 'tion.ro', 'ziuadevest.ro', 'obiectivtulcea.ro', 'publipro.ro', 'ramnic.ro', 'curieruldevalcea.ro', 'monitoruldevalcea.ro', 'radicalonline.info', 'sportexpres.ro', 'viatavalcii.ro', 'voceavalcii.ro', 'ziaruldevalcea.ro', 'estnews.ro', 'informatorulmoldovei.ro', 'monitoruldevaslui.ro', 'vremeanoua.ro', 'informatiavranceana.ro', 'monitorulvn.ro', 'radiodada.ro', 'sansavranceana.ro', 'sportuldevrancea.ro', 'ziaruldevrancea.ro']"
Czech Republic,"['ceskatelevize.cz', 'rozhlas.cz', 'tn.nova.cz', 'iprima.cz', 'radio.cz', 'ahasweb.cz', 'aktualne.cz', 'blisty.cz', 'ceskapozice.lidovky.cz', 'ceskenoviny.cz', 'czechjournal.cz', 'cnie.cz', 'denik.cz', 'financninoviny.cz', 'idnes.cz', 'neviditelnypes.lidovky.cz', 'newstin.cz', 'novinky.cz', 'novoya.com', 'numberczech.cz', 'parlamentnilisty.cz', 'pravednes.cz', 'regionalninovinky.cz', 'sportovninoviny.cz', 'tschechien-online.org', 'volny.cz', 'cz24.ru', 'ekonom.ihned.cz', 'profit.tyden.cz', 'reflex.cz', 'respekt.ihned.cz', 'tyden.cz', 'blesk.cz', 'halonoviny.cz', 'ihned.cz', 'lidovky.cz', 'pravo.novinky.cz', 'isport.blesk.cz', 'ctk.cz', 'ctk.eu', 'pressweb.cz', 'ceskobudejovicky.denik.cz', 'jihoceskenovinky.cz', 'ceskokrumlovsky.denik.cz', 'jindrichohradecky.denik.cz', 'pisecky.denik.cz', 'prachaticky.denik.cz', 'strakonicky.denik.cz', 'taborsky.denik.cz', 'blanensky.denik.cz', 'breclavsky.denik.cz', 'brnensky.denik.cz', 'ibrno.cz', 'jihomoravskenovinky.cz', 'hodoninsky.denik.cz', 'vyskovsky.denik.cz', 'znojemsko.cz', 'znojemsky.denik.cz', 'chebsky.denik.cz', 'karlovarskenovinky.cz', 'karlovarsky.denik.cz', 'sokolovsky.denik.cz', 'hradecky.denik.cz', 'kralovehradeckenovinky.cz', 'jicinsky.denik.cz', 'nachodsky.denik.cz', 'rychnovsky.denik.cz', 'krkonossky.denik.cz', 'ceskolipsky.denik.cz', 'jablonecky.denik.cz', 'libereckenovinky.cz', 'liberecky.denik.cz', 'bruntalsky.denik.cz', 'fm.denik.cz', 'karvinsky.denik.cz', 'novojicinsky.denik.cz', 'opavsky.denik.cz', 'moravskoslezskenovinky.cz', 'moravskoslezsky.denik.cz', 'hranicky.denik.cz', 'olomouckenovinky.cz', 'olomoucky.denik.cz', 'prerovsky.denik.cz', 'prostejovsky.denik.cz', 'vecernikpv.cz', 'sumpersky.denik.cz', 'oik.cz', 'orlicky.denik.cz', 'chrudimsky.denik.cz', 'pardubickenovinky.cz', 'pardubicky.denik.cz', 'svitavsky.denik.cz', 'domazlicky.denik.cz', 'klatovsky.denik.cz', 'plzenskenovinky.cz', 'plzensky.denik.cz', 'rokycansky.denik.cz', 'tachovsky.denik.cz', 'ahaonline.cz', 'e15.cz', 'landeszeitung.cz', 'metro.cz', 'obozrevatel.cz', 'pragerzeitung.cz', 'praguemonitor.com', 'praguepost.com', 'prague-tribune.cz', 'ptel.cz', 'prazskenovinky.cz', 'prazsky.denik.cz', 'sip.denik.cz', 'denik.obce.cz', 'benesovsky.denik.cz', 'berounsky.denik.cz', 'kladensky.denik.cz', 'stredoceskenovinky.cz', 'kolinsky.denik.cz', 'pres.cz', 'kutnohorsky.denik.cz', 'melnicky.denik.cz', 'melnicko.cz', 'boleslavsky.denik.cz', 'nymbursky.denik.cz', 'periskop-pribram.cz', 'pribramsky.denik.cz', 'rakovnicky.denik.cz', 'raport.cz', 'chomutovsky.denik.cz', 'decinsky.denik.cz', 'litomericky.denik.cz', 'mostecky.denik.cz', 'homerlive.cz', 'rn.rumburk.cz', 'mesto-sluknov.cz', 'teplicky.denik.cz', 'usteckenovinky.cz', 'ustecky.denik.cz', 'vsn.sluknovsko.cz', 'zatecky.denik.cz', 'havlickobrodsky.denik.cz', 'jihlavsky.denik.cz', 'pelhrimovsky.denik.cz', 'trebicsky.denik.cz', 'zdarsky.denik.cz', 'kromerizsky.denik.cz', 'tydenik-km.cz', 'slovacky.denik.cz', 'valassky.denik.cz', 'zlinsky.denik.cz']"
