c15,Word,Emotion
c15.1,abashment,Sad
c15.2,abhorrence,Anger
c15.3,admiration,Happy
c15.4,affection,Happy
c15.5,aggravation,Sad
c15.6,aggression,Anger
c15.8,alienation,Sad
c15.9,ambiguous-agitation,Anger
c15.11,ambiguous-hope,Happy
c15.12,amicability,Happy
c15.13,amorousness,Happy
c15.14,amour-propre,Happy
c15.15,anger,Anger
c15.16,angst,Anger
c15.17,animosity,Hatred
c15.18,annoyance,Anger
c15.19,antagonism,Hatred
c15.21,antipathy,Hatred
c15.22,anxiety,Sad
c15.23,anxiousness,Sad
c15.25,apprehension,Fear
c15.27,astonishment,Happy
c15.30,awe,Happy
c15.31,bad-temper,Anger
c15.35,beneficence,Happy
c15.36,benevolence,Happy
c15.37,blue-devils,Sad
c15.38,bonheur,Happy
c15.39,brotherhood,Happy
c15.41,buoyancy,Happy
c15.42,calmness,Happy
c15.43,captivation,Happy
c15.45,chagrin,Sad
c15.46,cheerfulness,Happy
c15.47,cheerlessness,Sad
c15.49,class-feeling,Hatred
c15.51,comfortableness,Happy
c15.52,commiseration,Sad
c15.53,compassion,Sad
c15.55,complacency,Happy
c15.60,contempt,Anger
c15.61,contentment,Happy
c15.65,cruelty,Anger
c15.66,cynicism,Sad
c15.67,dander,Anger
c15.69,defeatism,Sad
c15.70,demoralization,Sad
c15.71,depression,Sad
c15.72,despair,Sad
c15.73,despair-intimidation,Fear
c15.74,despisal,Hatred
c15.75,despondency,Sad
c15.79,discomfiture,Sad
c15.80,discouragement,Sad
c15.81,disgust,Sad
c15.83,dislike,Hatred
c15.84,displeasure,Sad
c15.86,distress,Sad
c15.87,dolefulness,Sad
c15.88,dolor,Sad
c15.89,downheartedness,Sad
c15.90,dudgeon,Anger
c15.91,dysphoria,Sad
c15.92,eagerness,Happy
c15.94,easiness,Happy
c15.97,elation,Happy
c15.99,embarrassment,Sad
c15.101,empathy,Happy
c15.102,encouragement,Happy
c15.103,enthusiasm,Happy
c15.104,enthusiasm-ardor,Happy
c15.105,envy,Anger
c15.106,euphoria,Happy
c15.107,exhilaration,Happy
c15.108,exuberance,Happy
c15.109,exultation,Happy
c15.111,fear-intimidation,Fear
c15.112,fearlessness,Happy
c15.113,fever,Sad
c15.114,fidget,Fear
c15.115,fit,Happy
c15.116,fondness,Happy
